2017-02-23 04:58:33.223886 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9f800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:58:48.239842 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7c800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:59:03.251468 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe78000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:59:18.260313 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fea1000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:59:33.264319 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fea2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:59:48.280176 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9f800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 05:00:03.291848 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7c800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 05:00:18.296626 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe78000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 05:00:33.302609 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fde2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 05:00:48.305715 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fea2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
